symbol,name,type
PMOCX,Putnam MN Tax Exempt Income C,mf
BGLAX,Brookfield Global Listed InfrastructureA,mf
ARFFX,Ariel Focus Investor,mf
DTGRX,Dreyfus Technology Growth A,mf
JHVSX,JHFunds2 Val & Restructuring NAV,mf
FTBLMX,FIRST TRUST 983 BALANCED INCOME,mf
WEMCX,Wells Fargo Advantage Emerging Gr C,mf
ECIIX,Eaton Vance Currency Income Advantage I,mf
KAUFX,Federated Kaufmann R,mf
KSTSX,Deutsche Unconstrained Income S,mf
WAEMX,Wasatch Emerging Markets Small Cap,mf
GTLLX,Glenmede Large Cap Growth,mf
FQPSIX,FIRST TRUST 2692 GLOBAL HARD AS,mf
EAASX,Eaton Vance Atlanta Capital SMID-Cap A,mf
MQLHX,MFS Limited Maturity R3,mf
VHDYX,Vanguard High Dividend Yield Index Inv,mf
VKGYMX,Van Kampen 864 Closed-End Str C,mf
JCVAX,JHVIT Mid Cap Value Equity NAV,mf
RIRFX,American Funds Capital Inc Bldr R5,mf
QMFAX,Quantitative Managed Futures Strat A,mf
WSTRX,Ivy Science & Technology R,mf
AVUTX,American Century VP Ultra - Cla,mf
PGRQX,Prudential Global Real Estate Q,mf
TIIUX,Consulting Group Core Fixed-Income,mf
MRTLX,MassMutual RetireSMART 2020 L,mf
AYBVX,AllianzGI High Yield Bond Administrative,mf
EKBYX,Wells Fargo Advantage Divers Cptl Bldr I,mf
RAFCX,American Funds AMCAP R3,mf
PCINX,Putnam Investors C,mf
WGBYX,Waddell & Reed Global Bond Y,mf
FLVEX,Fidelity Large Cap Value Enhanced Index,mf
FSGAX,Franklin Small-Mid Cap Growth Adv,mf
PSTQX,Prudential Short-Term Corporate Bd Q,mf
VKQMCX,Quality Municipals Income Trust,mf
PIOBX,Pioneer Bond A,mf
WNCCX,Waddell & Reed New Concepts C,mf
JDGAX,Janus A,mf
PRDMX,T. Rowe Price Diversified Mid Cap Growth,mf
PRWCX,T. Rowe Price Capital Appreciation,mf
PRNYX,T. Rowe Price NY Tax-Free Bond,mf
DGAIX,DGHM All-Cap Value Institutional,mf
RFBSX,Russell Short Duration Bond S,mf
OSFDX,Oceanstone Fund,mf
IDXPX,Voya Index Solution 2050 A,mf
PIFYX,PACE Intermediate Fixed Income Y,mf
HIGUX,Eagle Growth & Income R6,mf
XFUTX,Franklin Universal Trust,mf
ANZRX,AllianzGI Convertible R,mf
ICMUX,Intrepid Income Instl,mf
ETAZX,Eaton Vance AZ Municipal Income A,mf
TACIX,Transamerica Asset Allc Cnsrv I,mf
HLDYX,Hartford Emerging Markets Local Debt Y,mf
DQICX,Dreyfus Equity Income C,mf
RAPZX,Cohen & Steers Real Assets Z,mf
JEBNX,JHVIT Total Bond Market Trust A Ser I,mf
OWLSX,Old Westbury Large Cap Strategies,mf
USMYX,Natixis ASG Tactical US Market Y,mf
XDHYX,Credit Suisse High Yield Bond F,mf
VKNWLX,VAN KAMPEN 1107 NEW WORLD LEADE,mf
XEDDX,Morgan Stanley Emerging Markets,mf
WHIBX,Ivy High Income B,mf
FMPAX,Fidelity Advisor Mid Cap Value A,mf
ACSLX,American Century Select C,mf
OAEIX,Oppenheimer Equity Income A,mf
WMGAX,Ivy Mid Cap Growth A,mf
PAMIX,Putnam American Government Income C,mf
TPDIX,Timothy Plan Defensive Strategies I,mf
SIEZX,Saratoga International Equity B,mf
HGOBX,Hartford Growth Opportunities B,mf
NECCX,Natixis US Equity Opportunities C,mf
IBIIX,Ivy Global Equity Income I,mf
NWIAX,Nationwide Destination 2030 A,mf
FPRIX,Franklin Double Tax-Free Income C,mf
PARDX,T. Rowe Price Retirement 2040 Adv,mf
IGUJX,ING GET FUND U S  CORE PORTFOLI,mf
LWOPX,Western Asset Asian Opportunities IS,mf
FLCSX,Fidelity Large Cap Stock,mf
WAGRX,InvestEd Growth,mf
ATGBX,Transamerica Global Bond A,mf
MUIFX,Nationwide Institutional Service,mf
WBLIX,William Blair Low Duration I,mf
DISFX,Transamerica Partners Instl Stock Index,mf
GTAAX,New Path Tactical Allocation Investor,mf
FSHIX,Federated Shrt-Interm Dur Muni Instl,mf
